processo,contratante,contratado,objeto,vigencia,valor_total,data_assinatura
23034.031428/2023-15,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,27.906.988/0001-09 - EDITORA SEI LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 366.979,58",15/12/2025
23034.031163/2023-47,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,73.937.682/0001-37 - ZAPT EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 565.963,25",15/12/2025
23034.031326/2023-91,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,17.070.136/0001-70 - CAROLINA DE SOUZA LEAL 12247945759,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 156.221,12",18/12/2025
23034.031422/2023-30,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,30.850.017/0001-07 - EDITORA QUATTRO LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 235.473,78",18/12/2025
23034.031385/2023-60,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,03.796.758/0001-76 - EDITORA MELHORAMENTOS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 610.938,62",21/12/2025
23034.031504/2023-84,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,25.070.698/0001-42 - M. J. KARAS EDICOES LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 226.525,00",15/12/2025
23034.025126/2023-08,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,36.544.630/0001-74 - BECBOOKS SOLUCOES EDUCACIONAIS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 777.225,71",15/12/2025
23034.031370/2023-00,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.413.686/0001-55 - EDITORA LARA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 456.198,78",15/12/2025
23034.031426/2023-18,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,44.127.355/0001-11 - EDITORA SCIPIONE S.A,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 233.772,26",15/12/2025
23034.031136/2023-74,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.391.349/0001-04 - HIPACIA EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 487.560,01",15/12/2025
23034.031252/2023-93,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,60.444.098/0001-06 - EDITORA DCL - DIFUSAO CULTURAL DO LIVRO LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 542.955,71",21/12/2025
23034.025799/2023-50,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.967.359/0001-45 - AUTENTICA EDUCACAO LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 251.558,29",15/12/2025
23034.031485/2023-96,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,07.070.416/0001-25 - GC EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 257.961,68",15/12/2025
23034.031500/2023-04,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,40.978.320/0001-35 - LOTUS CULTURAL EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 318.567,28",15/12/2025
23034.031398/2023-39,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,07.213.926/0001-04 - EDITORA HR LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 289.749,29",18/12/2025
23034.031571/2023-07,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,08.190.813/0001-01 - VIDA MELHOR EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 286.484,85",18/12/2025
23034.031138/2023-63,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,06.222.005/0001-45 - HSF COMERCIAL LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 714.168,84",18/12/2025
23034.031552/2023-72,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,25.318.985/0001-29 - TIBI LIVROS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 391.925,39",21/12/2025
23034.031106/2023-68,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,29.779.071/0001-16 - FLORESCER LIVRARIA E EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 454.504,49",15/12/2025
23034.037245/2023-03,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,44.461.836/0001-69 - EDITORA YELLOWFANTE LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 444.304,92",15/12/2025
23034.031483/2023-05,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,22.338.034/0001-23 - GARAMILINCA PROJETOS PARA A INFANCIA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 296.152,64",15/12/2025
23034.031170/2023-49,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26.640.857/0001-60 - MARIA MARIANA CIRILO DE MEDEIROS 10083232419,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 585.055,62",18/12/2025
23034.026686/2023-71,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,22.520.538/0001-60 - CASA DOS LIVROS EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 512.876,21",18/12/2025
23034.031467/2023-12,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,08.462.885/0001-52 - ELEONORA RODRIGUES DE MEDEIROS ME,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 212.555,53",18/12/2025
23034.031475/2023-51,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,29.756.697/0001-07 - FARO EDITORIAL EIRELI,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 254.602,48",21/12/2025
23034.025807/2023-68,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,11.153.245/0001-75 - AMOK SERVICOS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 270.662,42",15/12/2025
23034.031507/2023-18,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,18.492.922/0001-29 - MARIA EMILIA PALHA FARIA 06723475631,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 188.490,93",15/12/2025
23034.025320/2023-85,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,04.496.460/0001-03 - A MAQUINA DE IDEIAS DESIGN GRAFICO E DE OBJETOS S/S LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 428.718,19",15/12/2025
23034.031160/2023-11,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,44.139.093/0001-05 - LIVRISSIMO EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 593.287,55",15/12/2025
23034.037172/2023-41,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,05.764.236/0001-18 - EDITORA PLANETA DO BRASIL LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 817.718,75",15/12/2025
23034.031264/2023-18,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,15.194.990/0001-13 - UNIVERSO EDUCACAO LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 638.941,80",18/12/2025
23034.031235/2023-56,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,12.708.358/0001-52 - SGE COMERCIO DE MATERIAL DIDATICO LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 864.974,71",18/12/2025
23034.031226/2023-65,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,24.081.734/0001-00 - SARAIVA SOLUCOES EDUCACIONAIS S.A,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 659.126,33",15/12/2025
23034.031364/2023-44,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,24.995.493/0001-05 - EDITORA LAGO DE HISTORIAS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 511.188,34",15/12/2025
23034.025113/2023-21,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,42.157.806/0001-38 - ARACARI EDITORA E ASSESSORIA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 543.648,77",15/12/2025
23034.027752/2023-21,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.597.410/0001-74 - EDITORA EXPANSAO DO SABER LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 221.504,41",15/12/2025
23034.025106/2023-29,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,58.407.107/0001-39 - ALCY PRODUÇÕES ARTISTICAS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 844.300,08",18/12/2025
23034.025791/2023-93,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,05.691.820/0001-90 - CULTURAMA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 490.446,01",21/12/2025
23034.026906/2023-67,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,68.216.860/0001-09 - CIRANDA CULTURAL EDITORA E DISTRIBUIDORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 219.500,68",21/12/2025
23034.031270/2023-75,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,16.581.782/0001-30 - VANGIVALDO S DOS SANTOS SERVICOS GRAFICOS,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 532.895,33",21/12/2025
23034.031169/2023-14,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,11.705.778/0001-12 - MARIA BRANCA PRODUCAO CULTURAL E ARTISTICA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 530.530,27",15/12/2025
23034.025140/2023-01,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,13.391.987/0001-64 - BOOK EDITORA E DISTRIBUIDORA DE LIVROS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 554.538,15",15/12/2025
